char,cj,wubi98,wubi86,sijiao,zhengma,terra,bopomofo,flypy,ms,zrm,sogou,abc,ziguang,moqi_aux,xh_aux,zrm_aux,lvl
〇,重重重重重,llll,llll,,jaa,ling2|yuan2|xing1,ㄌㄧㄥˊ|ㄩㄢˊ|ㄒㄧㄥ,lk|yr|xk,l;|yr|x;,ly|yr|xy,l;|yr|x;,ly|yp|xy,l;|yl|x;,vv,vv,aa,
㐀,廿一|重重廿一,hghg,gjgg,11102,,qiu1,ㄑㄧㄡ,qq,qq,qq,qq,qr,qj,ca,,aa,
㐁,一人田,glw|glwi,glwi,10604,,tian4,ㄊㄧㄢˋ,tm,tm,tm,tm,tw,tf,ar,,aa|ak,
㐄,中尸|手中|手女|重中尸,ggnh,ahk,50000,,kua4,ㄎㄨㄚˋ,kx,kw,kw,kw,kd,kx,uv,,aa|fg,
㐅,大|重重大,rty,qty,40000,,wu3,ㄨˇ,wu,wu,wu,wu,wu,wu,pd,,pd,
㐆,竹尸一尸,rvnv,rvnv,20227,,yin3,ㄧㄣˇ,yb,yn,yn,yn,yc,yy,iv,,pg,
㐌,人心木|重重人心木,tbb,tbb,80712,,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,py,,ry,
㐖,土口山|重土口山,fknn,fknn,47610,,xie2,ㄒㄧㄝˊ,xp,xx,xx,xx,xx,xd,tv,,jg,
㐜,戈水大弓,giyv,fiyv,47910,,chou2,ㄔㄡˊ,iz,ib,ib,ib,eb,az,qj,,qj,
㐡,大弓一月大,vdmd,vdmd,41018,,nuo4,ㄋㄨㄛˋ,no,no,no,no,no,no,jd,,jr,
㐤,大弓十月金|大弓心月金,vfhw,vfhw,44018,,dan1|qiu2,ㄉㄢ|ㄑㄧㄡˊ,dj|qq,dj|qq,dj|qq,dj|qq,dj|qr,dr|qj,jb,,jv,
㐨,弓弓弓戈弓,cnhh,cbcb,17222,,xu4,ㄒㄩˋ,xu,xu,xu,xu,xu,xu,yy,,yy,
